location,natural,historic,office,highway,railway,leisure,shop,tourism,healthcare
Cambridge,1928,52,112,10711,120,790,679,265,57
Oxford,1772,115,105,8341,256,1042,575,210,49
Euston Square,11701,787,1086,31380,2342,1087,4657,1228,512
Temple,17245,770,1218,35001,2528,1317,4177,1269,296
Kensington,4588,497,732,20911,1175,846,3314,901,457
Barnsley,239,12,47,4698,68,245,394,22,27
Mansfield,253,22,57,7728,134,197,531,36,34
Wakefield,228,9,92,7345,291,247,672,31,48
Sunderland,103,19,32,6074,226,187,341,60,30
Rotherham,183,6,27,4722,219,150,328,27,33
Doncaster,108,5,22,4663,947,113,348,35,7
Chesterfield,527,8,90,6556,205,157,564,37,41
Huddersfield,248,31,43,5988,148,226,411,32,14
