England and Wales Code,England and Wales,Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Hours worked (5 categories) Code,Hours worked (5 categories),Observation
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,31823877
K04000001,England and Wales,-8,Does not apply,1,Part-time: 15 hours or less worked,0
K04000001,England and Wales,-8,Does not apply,2,Part-time: 16 to 30 hours worked,0
K04000001,England and Wales,-8,Does not apply,3,Full-time: 31 to 48 hours worked,0
K04000001,England and Wales,-8,Does not apply,4,Full-time: 49 or more hours worked,0
K04000001,England and Wales,1,"1. Managers, directors and senior officials",-8,Does not apply,0
K04000001,England and Wales,1,"1. Managers, directors and senior officials",1,Part-time: 15 hours or less worked,275185
K04000001,England and Wales,1,"1. Managers, directors and senior officials",2,Part-time: 16 to 30 hours worked,372043
K04000001,England and Wales,1,"1. Managers, directors and senior officials",3,Full-time: 31 to 48 hours worked,2091149
K04000001,England and Wales,1,"1. Managers, directors and senior officials",4,Full-time: 49 or more hours worked,809477
K04000001,England and Wales,2,2. Professional occupations,-8,Does not apply,0
K04000001,England and Wales,2,2. Professional occupations,1,Part-time: 15 hours or less worked,310527
K04000001,England and Wales,2,2. Professional occupations,2,Part-time: 16 to 30 hours worked,753890
K04000001,England and Wales,2,2. Professional occupations,3,Full-time: 31 to 48 hours worked,3801219
K04000001,England and Wales,2,2. Professional occupations,4,Full-time: 49 or more hours worked,740479
K04000001,England and Wales,3,3. Associate professional and technical occupations,-8,Does not apply,0
K04000001,England and Wales,3,3. Associate professional and technical occupations,1,Part-time: 15 hours or less worked,311007
K04000001,England and Wales,3,3. Associate professional and technical occupations,2,Part-time: 16 to 30 hours worked,578730
K04000001,England and Wales,3,3. Associate professional and technical occupations,3,Full-time: 31 to 48 hours worked,2454841
K04000001,England and Wales,3,3. Associate professional and technical occupations,4,Full-time: 49 or more hours worked,316444
K04000001,England and Wales,4,4. Administrative and secretarial occupations,-8,Does not apply,0
K04000001,England and Wales,4,4. Administrative and secretarial occupations,1,Part-time: 15 hours or less worked,272773
K04000001,England and Wales,4,4. Administrative and secretarial occupations,2,Part-time: 16 to 30 hours worked,681980
K04000001,England and Wales,4,4. Administrative and secretarial occupations,3,Full-time: 31 to 48 hours worked,1539271
K04000001,England and Wales,4,4. Administrative and secretarial occupations,4,Full-time: 49 or more hours worked,80657
K04000001,England and Wales,5,5. Skilled trades occupations,-8,Does not apply,0
K04000001,England and Wales,5,5. Skilled trades occupations,1,Part-time: 15 hours or less worked,197533
K04000001,England and Wales,5,5. Skilled trades occupations,2,Part-time: 16 to 30 hours worked,366363
K04000001,England and Wales,5,5. Skilled trades occupations,3,Full-time: 31 to 48 hours worked,1883208
K04000001,England and Wales,5,5. Skilled trades occupations,4,Full-time: 49 or more hours worked,402648
K04000001,England and Wales,6,"6. Caring, leisure and other service occupations",-8,Does not apply,0
K04000001,England and Wales,6,"6. Caring, leisure and other service occupations",1,Part-time: 15 hours or less worked,350707
K04000001,England and Wales,6,"6. Caring, leisure and other service occupations",2,Part-time: 16 to 30 hours worked,877907
K04000001,England and Wales,6,"6. Caring, leisure and other service occupations",3,Full-time: 31 to 48 hours worked,1211815
K04000001,England and Wales,6,"6. Caring, leisure and other service occupations",4,Full-time: 49 or more hours worked,159748
K04000001,England and Wales,7,7. Sales and customer service occupations,-8,Does not apply,0
K04000001,England and Wales,7,7. Sales and customer service occupations,1,Part-time: 15 hours or less worked,395033
K04000001,England and Wales,7,7. Sales and customer service occupations,2,Part-time: 16 to 30 hours worked,759163
K04000001,England and Wales,7,7. Sales and customer service occupations,3,Full-time: 31 to 48 hours worked,853040
K04000001,England and Wales,7,7. Sales and customer service occupations,4,Full-time: 49 or more hours worked,79873
K04000001,England and Wales,8,"8. Process, plant and machine operatives",-8,Does not apply,0
K04000001,England and Wales,8,"8. Process, plant and machine operatives",1,Part-time: 15 hours or less worked,130485
K04000001,England and Wales,8,"8. Process, plant and machine operatives",2,Part-time: 16 to 30 hours worked,267047
K04000001,England and Wales,8,"8. Process, plant and machine operatives",3,Full-time: 31 to 48 hours worked,1224436
K04000001,England and Wales,8,"8. Process, plant and machine operatives",4,Full-time: 49 or more hours worked,318173
K04000001,England and Wales,9,9. Elementary occupations,-8,Does not apply,0
K04000001,England and Wales,9,9. Elementary occupations,1,Part-time: 15 hours or less worked,611816
K04000001,England and Wales,9,9. Elementary occupations,2,Part-time: 16 to 30 hours worked,768815
K04000001,England and Wales,9,9. Elementary occupations,3,Full-time: 31 to 48 hours worked,1368672
K04000001,England and Wales,9,9. Elementary occupations,4,Full-time: 49 or more hours worked,157508
